Role, Story, Acceptance Criteria, Priority
Admin,As an admin I want to reassign a member to a different seat so that I can optimize space.,"Given a member is occupied, from Seat Actions I select 'Reassign Seat'. I pick a vacant seat in same shift. Seat changed, member notified. Old seat freed.",P0
Admin,As an admin I want to mark a seat as maintenance so that it is not assignable.,"Given a seat is vacant, from Seat Actions I select 'Mark for Maintenance'. Seat shows gray with wrench icon. I can add issue description. Admin notified if >7 days.",P0
Admin,As an admin I want to renew a membership for a member so that they continue without interruption.,"Given a member is active or expired, from Seat Actions or Member Detail I open Renewal Screen. I can select shift, plan, start date (from expiry or today), apply discount, confirm payment. Member notified.",P0
Admin,As an admin I want to apply a discount on membership payment so that I can offer promotions.,"Given I am adding or renewing a member, I can toggle 'Apply Discount', enter reduced amount and reason. Discount is stored and shown to member on their card.",P0
Admin,As an admin I want to send announcements to members so that I can communicate updates.,"Given I tap 'Announce' from Home, I open Announcement Composer (bottom sheet). I select recipients (all, individual, filtered group), write title (optional) and message, and send. Pre-send confirmation shown.",P0
Admin,As an admin I want to view and reply to member queries so that I can provide support.,"Given a member sends a query, I see it in Profile → Manage Queries. I can reply. Member notified.",P0
Admin,As an admin I want to manage add-on services (lockers, premium seats) so that I can sell extras.,"Given I go to Business Settings → Add-on Services, I can create add-ons with name, price (one-time or monthly), refundable deposit toggle, max count. Add-ons appear in member join flow.",P1
Admin,As an admin I want to close my library for a day or scheduled holidays so that streaks are frozen.,"Given I tap 'Close Today' or set a scheduled closure in Business Rules, members are notified and streak freeze applies. QR scans accepted but day flagged as closed.",P0
Admin,As an admin I want to view my subscription status and upgrade/downgrade plan so that I pay appropriately.,"Given I go to Profile → Subscription, I see current plan (Starter/Basic/Pro) and usage. I can upgrade or downgrade. Razorpay handles payment.",P0
Admin,As an admin I want to export member/attendance/payment data as CSV so that I can do external analysis.,"Given I go to Profile → Exports & Reports, I can select data type and date range, and download CSV. PDF exports are V2.",P1
Admin,As an admin I want to see an audit log of critical actions so that I can track changes.,"Given I go to Profile → Account → Audit Log, I see a list of actions (member approval, discount applied, seat removal, etc.) with timestamp and admin name. Read-only.",P1
Admin,As an admin I want to transfer a member to another of my libraries so that I can consolidate.,"Given I own multiple libraries, from Member Detail I can tap 'Transfer to Another Library', select destination library, shift, seat, and date. History and streak preserved.",P1
Admin,As an admin I want to permanently close my library so that it stops accepting new members.,"Given I go to Library Profile → three-dot → 'Close Library Permanently', I see a pre-closure check (active members, pending requests). After typing library name to confirm, library is closed. Members notified. Read-only mode for admin.",P1
Member,As a member I want to sign up and select my role so that I can use the app.,"Given I open the app, when I sign up with email/password or Google/Apple, then I am asked to select my role (Student). Role saved.",P0
Member,As a member I want to complete my profile so that I can join a library.,"Given I am a new member, I see a profile setup card. I fill name, nickname (required), phone, gender, DOB, and upload ID proof. Card hides when done. Missing fields collected inline during join.",P0
Member,As a member I want to discover libraries near me so that I can choose one to join.,"Given I go to Explore tab, I can search by name, city, or library code. I see library cards with name, city, shift pills, price, free trial badge, and verified tick if earned. I can tap to view details.",P0
Member,As a member I want to join a library with a free trial so that I can try before paying.,"Given a library offers trial, during join flow Step 2 I see an option 'Start with Free Trial'. If selected, payment step is skipped. I get trial days (configurable by admin). Trial badge shown on my card.",P0
Member,As a member I want to apply to join a library so that I can start studying there.,"Given I select a library, I go through join flow: Step 0 (profile inline), Step 1 (existing member? optional), Step 2 (shift & plan, trial option), Step 3 (add-ons), Step 4 (payment if not trial), Step 5 (review & submit). On submit, join request sent to admin. I see 'Payment Under Review' status.",P0
Member,As a member I want to upload a UPI payment screenshot so that admin can confirm my payment.,"Given I choose UPI payment, I see admin's UPI IDs with deep-link icons (PhonePe, GPay, Paytm). I enter sender name and upload screenshot. Required fields. I submit. Admin can confirm or reject.",P0
Member,As a member I want to scan a QR code to check in and out so that my attendance is recorded.,"Given I am a member with active membership, I tap the floating scan button, point camera at attendance QR. On success, I see 'Checked In!' or 'Checked Out!' with timestamp. Offline scans saved and synced later.",P0
Member,As a member I want to see my current membership card so that I know my seat, plan, and expiry.,"Given I am on My Library tab, I see a card for each joined library. Card shows library name, seat, shift, plan, expiry progress bar, days remaining. Dues or trial banner if applicable.",P0
Member,As a member I want to renew my membership so that I can continue using the library.,"Given my membership is active or within grace, I tap 'Renew Plan' on my card. I select shift (can change), plan, start date (continue from expiry or today). If shift changes, seat picker opens. I pay via cash/UPI (offline). Renewal request sent to admin.",P0
Member,As a member I want to request a seat change so that I can move to a better seat.,"Given I tap 'Request Seat Change' on my card, I fill reason and optional preferred section. Admin approves and assigns new seat. I am notified.",P0
Member,As a member I want to request a hold (pause membership) so that I can take a break without losing my seat.,"Given I tap 'More' → 'Request Hold', I select start date (tomorrow or later), end date (min 3 days, max 30 days), and reason. Admin approves. During hold: seat reserved, billing paused, expiry extended. Member cannot check in.",P1
Member,As a member I want to exit a library so that I stop my membership.,"Given I tap 'More' → 'Exit Library', if I have no dues, I see two-step confirmation (warning then final red button). On exit, seat freed, membership archived. My history preserved in Past Libraries. If dues >0, exit blocked.",P0
Member,As a member I want to see my study analytics so that I track my progress.,"Given I go to Analytics tab, I see summary cards (days present, absent, total hours, attendance rate) with trend vs last period. I see current streak, leaderboard (nickname only), badges, bar chart, calendar heatmap. I can export attendance as CSV.",P0
Member,As a member I want to earn badges and streaks so that I stay motivated.,"Given I meet badge criteria (7-day streak, early bird, etc.), I receive a notification and badge appears in Analytics. Streak freezes on admin-closed days. Badges are global across libraries.",P1
Member,As a member I want to refer a friend so that I get free days.,"Given I go to Profile → Refer a Friend, I see my referral code. I can share via WhatsApp etc. When a friend joins using my code, after they complete 5 check-ins or 7 days, I receive free days (admin configured). Reward shown as pending then credited.",P1
Member,As a member I want to view announcements from my library so that I stay informed.,"Given my library sends an announcement, I see it on My Library tab (last 3) and as a push notification. Unread have orange border. Tapping marks as read.",P0
Member,As a member I want to contact the library admin with a query so that I can get help.,"Given I go to Profile → Help & Support → Contact Library, I can write a message. Admin replies in the app. I receive notification.",P0
Member,As a member I want to see the library's contact number and social links so that I can call or follow.,"Given I view a library (on Explore or My Library), I see emergency contact number (tap to call) and social media icons (Instagram, WhatsApp, etc.).",P0
Member,As a member I want to verify my phone number and email so that my profile is more complete.,"Given I go to Profile → Edit Profile, I can tap 'Verify Phone' or 'Verify Email'. OTP sent. Verified fields get a tick and increase profile completion score.",P1
System,As the system I want to auto-checkout members at shift end so that sessions are closed.,"Given a member is checked in and shift ends, if they have not scanned checkout within 10 minutes after shift end, system auto-checkouts them at shift end time. If they scan after shift end, that scan becomes the checkout (overtime included).",P0
System,As the system I want to auto-hold seats after expiry grace period so that seats are not blocked indefinitely.,"Given a membership expires, after the configured grace period (default 3 days) with no renewal, the seat is auto-held (amber). Admin notified. Member can renew and seat is reassigned.",P0
System,As the system I want to sync offline scans when internet returns so that no data is lost.,"Given a member scans offline, the scan is stored in local queue (max 500). When internet is restored, queue syncs to Supabase in FIFO order. On conflict, newer timestamp wins. User sees 'X scans synced' toast.",P0
System,As the system I want to freeze streaks on library-closed days so that members are not penalized.,"Given admin marks library closed (single day or scheduled range), all members' streaks are frozen for those days. No streak break. Members notified.",P0
System,As the system I want to regenerate QR codes with a 7-day grace period so that printed QRs are not suddenly broken.,"Given admin regenerates a QR, the old QR continues to work for 7 days. After grace, old QR scans are flagged for admin review. Admin sees both versions in QR Assets.",P0
System,As the system I want to enforce duplicate phone prevention so that members cannot create multiple accounts.,"Given a member tries to join a library with a phone number already associated with an active or past membership, system detects and offers to reactivate old profile. Admin sees 'Returning Member' badge.",P0
System,As the system I want to send push notifications for all events listed in PRD Section 17.3 so that users stay informed.,"Given an event occurs (join request, payment confirmation, expiry, etc.), the system sends a push notification to the relevant user via FCM. Payload includes title, body, data (screen to open).",P0
